2013-2015 Field Season,,,,
,,,,
Date_collected,Species,Plot,Sex,Weight_grams
7/16/2013,DM,2,F,
7/16/2013,DM,1,M,33
7/16/2013,DM,3,M,
7/16/2013,DM,1,M,
7/18/2013,DM,3,M,40
7/18/2013,DM,3,M,48
7/18/2013,DM,3,F,29
7/18/2013,DM,3,F,46
7/18/2013,DM,3,M,36
7/18/2013,DM,3,F,35
7/18/2013,DM,3,F,22
7/18/2013,DM,3,F,42
7/18/2013,DM,3,F,41
7/18/2013,DM,3,F,37
8/19/2013,DO,4,F,52
10/17/2013,DO,3,F,33
10/17/2013,DO,3,F,50
10/17/2013,DO,1,F,48
10/17/2013,DO,17,F,31
10/18/2013,DO,4,F,41
11/12/2013,DO,1,F,44
11/12/2013,DO,1,M,48
11/12/2013,DS,4,F,117
11/12/2013,DS,1,F,121
11/12/2013,DS,20,M,115
11/12/2013,DS,3,F,120
11/13/2013,DS,1,F,118
11/13/2013,DS,3,F,126
11/13/2013,DS,2,M,132
11/13/2013,DS,1,F,113
11/13/2013,DS,3,F,122
11/13/2013,DS,4,F,107
11/13/2013,DS,4,F,115
11/14/2013,DO,2,F,39
12/10/2013,DO,3,F,40
12/10/2013,DO,1,M,45
12/11/2013,DO,2,F,41
1/8/2014,NA,,,
1/8/2014,DM,2,M,44
1/8/2014,DM,2,M,38
1/8/2014,OL,2,,
1/8/2014,PE,2,M,22
1/8/2014,DM,2,M,38
1/8/2014,DM,2,M,48
1/8/2014,DM,2,M,43
1/8/2014,DM,2,F,35
1/8/2014,DM,2,M,43
1/8/2014,DM,2,F,37
1/8/2014,PF,2,F,7
1/8/2014,DM,2,M,45
1/8/2014,OT,2,,
1/8/2014,DS,2,M,157
1/8/2014,OX,2,,
1/9/2014,DM,1,M,40
1/9/2014,DM,1,F,36
1/9/2014,DS,1,F,135
1/20/2014,DM,1,F,39
1/20/2014,DM,1,M,43
1/20/2014,DS,1,F,144
2/18/2014,NA,2,M,218
2/18/2014,PF,2,F,7
2/18/2014,DM,2,M,52
3/13/2014,DM,1,F,51
3/13/2014,DM,1,F,44
3/13/2014,DS,1,F,146
1/8/2015,PF,3,F,7
2/18/2015,OT,3,M,24
2/18/2015,OT,3,F,23
3/11/2015,NA,3,,232
3/11/2015,OT,3,M,22
3/11/2015,OT,3,M,26
3/11/2015,PF,3,F,8
4/8/2015,NA,3,,
5/6/2015,,3,,
5/18/2015,NA,3,,182
6/9/2015,OT,3,M,29
7/8/2015,NA,3,,115
7/8/2015,NA,3,,190
,,,,
,,,,
,,,,
Metadata,,,,
,,,,
VariableName,Description,Variable_type,Units,
Date_collected,The date the selected animal was captured,Real,NA,
Species,"Species of the captured animal, left blank if not distinguishable",String,NA,
Plot,The plot of land in which the animal was captured,Real,NA,
Sex,"Sex of the captured animal, left blank if not distinguishable",String,NA,
Weight_grams,"Weight (in grams) of the captured animal, filled in a gray color if scale was not calibrated correctly",Real,Grams,
